# exported by xylib from a canberra_cnf file

### block #0 Sample title.
# date and time: Sat, 2015-10-03 12:49:13
# energy calib 0: 0
# energy calib 1: 0.125
# energy calib 2: 0
# live time (s): 9785.77
# real time (s): 10800.00
# column_1	column_2
103.750000	259.000000
103.875000	223.000000
104.000000	246.000000
104.125000	253.000000
104.250000	233.000000
104.375000	253.000000
104.500000	235.000000
104.625000	242.000000
104.750000	245.000000
104.875000	232.000000
105.000000	214.000000
105.125000	252.000000
105.250000	254.000000
105.375000	220.000000
105.500000	211.000000
105.625000	268.000000
105.750000	234.000000
105.875000	225.000000
106.000000	213.000000
106.125000	215.000000
106.250000	242.000000
106.375000	238.000000
106.500000	223.000000
106.625000	229.000000
106.750000	210.000000
106.875000	206.000000
107.000000	245.000000
107.125000	244.000000
107.250000	198.000000
107.375000	207.000000
107.500000	220.000000
107.625000	204.000000
107.750000	238.000000
107.875000	222.000000
108.000000	187.000000
108.125000	215.000000
108.250000	236.000000
108.375000	215.000000
108.500000	209.000000
108.625000	219.000000
108.750000	220.000000
108.875000	242.000000
109.000000	254.000000
109.125000	243.000000
109.250000	229.000000
109.375000	224.000000
109.500000	218.000000
109.625000	246.000000
109.750000	244.000000
109.875000	214.000000
110.000000	250.000000
110.125000	228.000000
110.250000	250.000000
110.375000	212.000000
110.500000	228.000000
110.625000	267.000000
110.750000	225.000000
110.875000	224.000000
111.000000	206.000000
111.125000	231.000000
111.250000	223.000000
111.375000	235.000000
111.500000	246.000000
111.625000	220.000000
111.750000	284.000000
111.875000	240.000000
112.000000	228.000000
112.125000	254.000000
112.250000	263.000000
112.375000	246.000000
112.500000	236.000000
112.625000	265.000000
112.750000	222.000000
112.875000	221.000000
113.000000	237.000000
113.125000	253.000000
113.250000	257.000000
113.375000	243.000000
113.500000	266.000000
113.625000	238.000000
113.750000	266.000000
113.875000	266.000000
114.000000	257.000000
114.125000	253.000000
114.250000	238.000000
114.375000	266.000000
114.500000	254.000000
114.625000	251.000000
114.750000	262.000000
114.875000	239.000000
115.000000	245.000000
115.125000	241.000000
115.250000	228.000000
115.375000	247.000000
115.500000	232.000000
115.625000	249.000000
115.750000	231.000000
115.875000	229.000000
116.000000	236.000000
116.125000	236.000000
116.250000	233.000000
116.375000	234.000000
116.500000	257.000000
116.625000	247.000000
116.750000	261.000000
116.875000	249.000000
117.000000	222.000000
117.125000	203.000000
117.250000	208.000000
117.375000	247.000000
117.500000	235.000000
117.625000	202.000000
117.750000	185.000000
117.875000	251.000000
118.000000	221.000000
118.125000	232.000000
118.250000	212.000000
118.375000	193.000000
118.500000	222.000000
118.625000	210.000000
118.750000	211.000000
118.875000	192.000000
119.000000	207.000000
119.125000	207.000000
119.250000	201.000000
119.375000	188.000000
119.500000	206.000000
119.625000	210.000000
119.750000	190.000000
119.875000	203.000000
120.000000	180.000000
120.125000	196.000000
120.250000	211.000000
120.375000	199.000000
120.500000	183.000000
120.625000	175.000000
120.750000	208.000000
120.875000	212.000000
121.000000	197.000000
121.125000	180.000000
121.250000	186.000000
121.375000	201.000000
121.500000	174.000000
121.625000	176.000000
121.750000	178.000000
121.875000	201.000000
122.000000	194.000000
122.125000	176.000000
122.250000	183.000000
122.375000	187.000000
122.500000	167.000000
122.625000	183.000000
122.750000	142.000000
122.875000	163.000000
123.000000	170.000000
123.125000	203.000000
123.250000	174.000000
123.375000	172.000000
123.500000	177.000000
123.625000	174.000000
123.750000	167.000000
123.875000	188.000000
124.000000	171.000000
124.125000	167.000000
124.250000	175.000000
124.375000	162.000000
124.500000	166.000000
124.625000	160.000000
124.750000	157.000000
124.875000	179.000000
125.000000	144.000000
125.125000	164.000000
125.250000	166.000000
125.375000	162.000000
125.500000	160.000000
125.625000	159.000000
125.750000	145.000000
125.875000	174.000000
126.000000	139.000000
126.125000	172.000000
126.250000	151.000000
126.375000	146.000000
126.500000	157.000000
126.625000	146.000000
126.750000	130.000000
126.875000	155.000000
127.000000	144.000000
127.125000	145.000000
127.250000	148.000000
127.375000	142.000000
127.500000	132.000000
127.625000	149.000000
127.750000	132.000000
127.875000	146.000000
128.000000	136.000000
128.125000	148.000000
128.250000	156.000000
128.375000	166.000000
128.500000	142.000000
128.625000	133.000000
128.750000	140.000000
128.875000	137.000000
129.000000	150.000000
129.125000	129.000000
129.250000	137.000000
129.375000	125.000000
129.500000	121.000000
129.625000	119.000000
129.750000	120.000000
129.875000	128.000000
130.000000	104.000000
130.125000	113.000000
130.250000	141.000000
130.375000	133.000000
130.500000	119.000000
130.625000	114.000000
130.750000	121.000000
130.875000	135.000000
131.000000	123.000000
131.125000	124.000000
131.250000	129.000000
131.375000	100.000000
131.500000	111.000000
131.625000	103.000000
131.750000	99.000000
131.875000	123.000000
132.000000	115.000000
132.125000	116.000000
132.250000	111.000000
132.375000	119.000000
132.500000	124.000000
132.625000	109.000000
132.750000	103.000000
132.875000	98.000000
133.000000	100.000000
133.125000	103.000000
133.250000	100.000000
133.375000	99.000000
133.500000	120.000000
133.625000	108.000000
133.750000	96.000000
133.875000	108.000000
134.000000	105.000000
134.125000	113.000000
134.250000	109.000000
134.375000	131.000000
134.500000	91.000000
134.625000	104.000000
134.750000	94.000000
134.875000	111.000000
135.000000	96.000000
135.125000	95.000000
135.250000	103.000000
135.375000	100.000000
135.500000	107.000000
135.625000	109.000000
135.750000	100.000000
135.875000	97.000000
136.000000	109.000000
136.125000	110.000000
136.250000	123.000000
136.375000	102.000000
136.500000	115.000000
136.625000	105.000000
136.750000	111.000000
136.875000	98.000000
137.000000	117.000000
137.125000	104.000000
137.250000	117.000000
137.375000	124.000000
137.500000	94.000000
137.625000	128.000000
137.750000	125.000000
137.875000	132.000000
138.000000	98.000000
138.125000	122.000000
138.250000	110.000000
138.375000	144.000000
138.500000	117.000000
138.625000	121.000000
138.750000	135.000000
138.875000	128.000000
139.000000	122.000000
139.125000	122.000000
139.250000	132.000000
139.375000	124.000000
139.500000	123.000000
139.625000	143.000000
139.750000	133.000000
139.875000	142.000000
140.000000	142.000000
140.125000	163.000000
140.250000	144.000000
140.375000	147.000000
140.500000	164.000000
140.625000	173.000000
140.750000	160.000000
140.875000	149.000000
141.000000	170.000000
141.125000	177.000000
141.250000	174.000000
141.375000	190.000000
141.500000	178.000000
141.625000	195.000000
141.750000	209.000000
141.875000	212.000000
142.000000	197.000000
142.125000	240.000000
142.250000	252.000000
142.375000	216.000000
142.500000	212.000000
142.625000	238.000000
142.750000	254.000000
142.875000	253.000000
143.000000	269.000000
143.125000	281.000000
143.250000	306.000000
143.375000	301.000000
143.500000	299.000000
143.625000	328.000000
143.750000	365.000000
143.875000	323.000000
144.000000	323.000000
144.125000	319.000000
144.250000	393.000000
144.375000	366.000000
144.500000	386.000000
144.625000	363.000000
144.750000	404.000000
144.875000	360.000000
145.000000	395.000000
145.125000	420.000000
145.250000	417.000000
145.375000	421.000000
145.500000	435.000000
145.625000	469.000000
145.750000	474.000000
145.875000	476.000000
146.000000	448.000000
146.125000	457.000000
146.250000	488.000000
146.375000	492.000000
146.500000	467.000000
146.625000	508.000000
146.750000	451.000000
146.875000	494.000000
147.000000	465.000000
147.125000	477.000000
147.250000	485.000000
147.375000	448.000000
147.500000	485.000000
147.625000	448.000000
147.750000	433.000000
147.875000	441.000000
148.000000	448.000000
